X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
400840.659999996,139142.940000001,25134911,2025/09/04 03:32:55+00,MIDNIGHT,OTHERS,ROBBERY,1000 - 1249 BLOCK OF BRENTWOOD ROAD NE,400840.66,139142.94,5,5C,5,505,Cluster 22,009102 4,009102,Precinct 72,38.9201570109,-76.9903059701,,2025/09/04 01:46:00+00,2025/09/04 01:56:00+00,806951738,
399323.539999999,138138.68,25423853,2025/09/04 14:32:34+00,DAY,OTHERS,THEFT/OTHER,1 - 99 BLOCK OF Q STREET NE,399323.54,138138.68,5,5F,5,502,Cluster 21,008701 1,008701,Precinct 75,38.9111104443,-77.0077995761,,2025/09/01 20:15:00+00,2025/09/02 20:16:00+00,806951834,
398010.0,137782.890000001,25147971,2025/09/28 00:10:12+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1300 - 1399 BLOCK OF 8TH STREET NW,398010,137782.89,2,2G,3,307,Cluster 7,004902 1,004902,Precinct 18,38.9079033735,-77.022943646,,2025/09/27 23:08:00+00,2025/09/27 23:40:00+00,806952431,
401897.409999996,136243.800000001,25148061,2025/09/28 03:23:35+00,MIDNIGHT,OTHERS,THEFT F/AUTO,300 - 399 BLOCK OF 18TH PLACE NE,401897.41,136243.8,7,7D,5,507,Cluster 25,007901 2,007901,Precinct 81,38.8940389067,-76.9781281191,,2025/09/28 02:46:00+00,2025/09/28 03:05:00+00,806952432,
398469.82,134448.469999999,25147736,2025/09/27 15:15:58+00,DAY,KNIFE,ASSAULT W/DANGEROUS WEAPON,900 - 1199 BLOCK OF 4TH STREET SW,398469.82,134448.47,6,6D,1,105,Cluster 9,010201 2,010201,Precinct 128,38.8778666066,-77.0176347386,SOUTHWEST,2025/09/27 13:47:00+00,,806952433,
397228.829999998,137798.129999999,25147976,2025/09/27 23:55:49+00,EVENING,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF 14TH STREET NW,397228.83,137798.13,2,2F,2,208,Cluster 7,005203 2,005203,Precinct 17,38.9080385449,-77.0319501832,,2025/09/27 22:24:00+00,2025/09/27 23:52:00+00,806952434,
401728.259999998,138813.539999999,25148055,2025/09/28 03:11:03+00,MIDNIGHT,OTHERS,THEFT/OTHER,1600 - 1779 BLOCK OF NEW YORK AVENUE NE,401728.26,138813.54,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,38.9171883705,-76.9800714834,,2025/09/28 02:50:00+00,2025/09/28 02:55:00+00,806952435,
398758.710000001,145213.059999999,25147788,2025/09/27 16:54:43+00,DAY,OTHERS,THEFT/OTHER,100 - 199 BLOCK OF CARROLL STREET NW,398758.71,145213.06,4,4B,4,401,Cluster 17,001702 2,001702,Precinct 63,38.9748378665,-77.014324859,,2025/09/27 16:03:00+00,2025/09/27 16:54:00+00,806952436,
395063.890000001,136998.120000001,25147855,2025/09/27 20:01:09+00,EVENING,OTHERS,THEFT F/AUTO,2701 - 2899 BLOCK OF VIRGINIA AVENUE NW,395063.89,136998.12,2,2E,2,206,Cluster 45,000102 3,000102,Precinct 5,38.9008222833,-77.0569050876,GEORGETOWN,2025/09/27 10:20:00+00,2025/09/27 13:00:00+00,806952437,
401721.049999997,133117.149999999,25147902,2025/09/27 21:12:56+00,EVENING,OTHERS,THEFT/OTHER,1649 - 1799 BLOCK OF MARION BARRY AVENUE SE,401721.05,133117.15,8,8A,6,607,Cluster 34,007605 2,007605,Precinct 112,38.8658731872,-76.9801688908,ANACOSTIA,2025/09/27 20:34:00+00,2025/09/27 20:50:00+00,806952438,
396504.560000002,137376.52,25147683,2025/09/27 12:32:01+00,DAY,OTHERS,THEFT F/AUTO,1100 - 1129 BLOCK OF CONNECTICUT AVENUE NW,396504.56,137376.52,2,2C,2,207,Cluster 6,010700 1,010700,Precinct 17,38.9042379536,-77.0402985018,GOLDEN TRIANGLE,2025/09/27 02:00:00+00,2025/09/27 10:00:00+00,806952439,
398101.219999999,138793.82,25147793,2025/09/27 17:32:23+00,DAY,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF GEORGIA AVENUE NW,398101.22,138793.82,1,1B,3,306,Cluster 3,003400 2,003400,Precinct 37,38.9170103743,-77.0218947232,,2025/09/27 14:30:00+00,2025/09/27 15:30:00+00,806952440,
397293.75,141435.280000001,25424174,2025/09/27 12:31:42+00,DAY,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF TAYLOR STREET NW,397293.75,141435.28,4,4C,4,404,Cluster 18,002504 1,002504,Precinct 47,38.9408033496,-77.0312160281,,2025/09/25 06:04:00+00,2025/09/25 06:05:00+00,806952441,
400504.020000003,129677.18,25147231,2025/09/27 11:14:41+00,DAY,OTHERS,THEFT F/AUTO,3700 - 3851 BLOCK OF 9TH STREET SE,400504.02,129677.18,8,8E,7,706,Cluster 39,009801 1,009801,Precinct 121,38.8348859806,-76.9941948591,,2025/09/24 12:00:00+00,2025/09/24 20:00:00+00,806952442,
402830.954999998,131500.580899999,25147168,2025/09/26 16:52:08+00,DAY,GUN,ASSAULT W/DANGEROUS WEAPON,2800 - 2899 BLOCK OF JASPER STREET SE,402830.95504058,131500.580919463,8,8B,7,702,Cluster 36,007408 1,007408,Precinct 115,38.8513075778,-76.9673864653,,2025/09/25 15:30:00+00,2025/09/26 15:23:00+00,806952443,
