number,school,team,exhibition,city,state,track,rank,total,Air Trajectory,Anatomy and Physiology,Astronomy,CAD Engineering (Trial),Chemistry Lab,Codebusters,Disease Detectives,Dynamic Planet,Ecology,Experimental Design,Fermi Questions,Flight,Forensics,Forestry,Fossils,Geologic Mapping,Microbe Mission,Optics,Robot Tour,Scrambler,Towers,Wind Power,Write It Do It
1,Stuyvesant High School,A,,New York,NY,,1,135,7,3,2,52,1,11,2,2,3,1,1,6,1,2,1,2,1,5,27,28,13,7,9
2,Forest Hills High School,A,,,NY,,2,140,8,5,1,52,5,5,8,4,6,7,13,3,3,3,4,6,16,1,7,15,4,6,10
3,Staten Island Technical High School,A,,New York,NY,,3,165,17,8,8,3,7,1,7,1,4,17,11,11,6,4,3,8,4,12,11,1,10,12,2
4,Brooklyn Technical High School,A,,New York,NY,,4,171,5,6,4,11,9,6,3,7,11,4,2,13,10,5,10,16,6,10,1,8,8,3,24
5,Stuyvesant High School,B,,New York,NY,,5,193,6,1,5,52,4,14,6,9,2,16,16,28,7,7,11,4,10,9,4,12,6,9,7
6,Staten Island Technical High School,B,,New York,NY,,6,203,18,2,13,2,2,2,10,8,10,13,5,5,9,1,2,7,3,3,12,10,16,11,41
7,Brooklyn Technical High School,B,,New York,NY,,7,224,2,4,7,5,14,4,11,15,27,3,25,1,16,8,7,28,2,23,2,6,1,4,14
8,Townsend Harris High School,A,,,NY,,8,228,1,14,6,52,8,3,1,10,7,14,17,9,2,18,17,10,11,2,9,9,19,2,39
9,Stuyvesant High School,C,,New York,NY,,9,239,23,7,3,52,3,9,5,5,1,8,8,30,5,10,16,1,9,13,52,14,3,10,4
10,Forest Hills High School,B,,,NY,,10,278,11,11,10,52,22,10,9,6,13,11,18,18,4,17,20,9,12,19,3,18,9,5,23
11,Townsend Harris High School,B,,,NY,,11,292,21,10,12,16,21,8,4,3,14,12,10,17,12,6,15,3,5,14,10,27,38,14,16
12,Forest Hills High School,C,,,NY,,12,295,10,13,14,52,24,7,12,12,30,5,12,7,14,12,9,14,17,17,19,20,7,8,12
13,Brooklyn Technical High School,C,,New York,NY,,13,318,13,9,11,10,18,19,13,18,33,2,32,14,17,11,5,24,14,7,22,4,2,1,29
14,Leon M. Goldstein High School for the Sciences,A,,,NY,,14,320,12,22,9,14,16,15,31,21,29,6,3,2,22,14,8,19,38,11,13,2,5,17,5
15,Staten Island Technical High School,C,,New York,NY,,15,402,20,29,18,12,12,12,24,11,12,10,27,25,8,9,6,11,15,6,28,52,21,13,33
16,Francis Lewis High School,A,,,NY,,16,424,26,16,30,52,6,17,16,22,17,20,24,12,18,19,21,17,20,31,17,13,24,19,19
17,Leon M. Goldstein High School for the Sciences,B,,,NY,,17,483,16,19,21,19,19,21,26,34,40,22,28,16,11,24,25,31,27,34,14,3,17,22,13
18,John Bowne High School,,,,NY,,18,486,3,27,15,52,29,40,22,24,34,9,26,29,21,27,19,18,28,20,5,16,14,15,45
19,Saint Ann's School,A,,,NY,,19,487,9,21,23,52,10,13,19,30,15,26,6,31,34,13,18,29,37,29,20,21,35,23,25
20,Saint Francis Prepatory High School,A,,,NY,,20,496,19,25,16,8,28,20,14,19,25,34,19,23,23,16,22,15,21,30,30,7,33,21,36
21,New Utrecht High School,B,,,NY,,21,515,30,38,29,17,37,30,29,29,8,24,15,15,15,28,13,25,25,28,8,26,23,25,15
22,Benjamin Cardozo High School,A,,,NY,,22,522,14,17,35,15,25,25,25,28,18,27,40,26,20,21,38,5,22,8,23,24,37,33,11
